Hour    Frequency
-----------------

10        129

13        200

14        270

15        373

16        364

17        304

1        68

18        308

21        488

11        144

20        436

19        297

22        548

23        556

0        276

9        76

6        11

12        194

2        41

3        9

7        22

4        5

5        22

8        34

=================

Day     Frequency
-----------------

Wednesday     1319

Thursday     498

Sunday     1140

Monday     487

Tuesday     427

Friday     719

Saturday     585

